"site","plot","subsample_weight","POM...MAOM","fraction","crop","treatment","date","land_type","CN","maom_cn_bc"
"Jackson Mill",21,10.08,10.27,"MAOM","Willow","Control","June 2021","Agriculture",8.74883948204251,0.493467655092053
"Jackson Mill",22,9.99,10.16,"MAOM","Switchgrass","Control","June 2021","Agriculture",9.17680881648299,0.494062732225213
"Jackson Mill",23,10.02,10.7,"MAOM","Switchgrass","Control","June 2021","Agriculture",9.33765272121436,0.494265513054126
"Jackson Mill",24,10.05,10.49,"MAOM","Switchgrass","Biochar","June 2021","Agriculture",9.64249916471767,0.494622371651997
"Jackson Mill",3,NA,10.5,"MAOM","Willow","Control","June 2021","Agriculture",8.9316742081448,0.493732356910655
"Jackson Mill",5,NA,8.2,"MAOM","Switchgrass","Biochar","June 2021","Agriculture",10.485985338508,0.495452721934835
"Jackson Mill",6,10.02,10.89,"MAOM","Switchgrass","Control","June 2021","Agriculture",9.18185198958721,0.494069252575599
"Jackson Mill",7,9.98,9.58,"MAOM","Switchgrass","Biochar","June 2021","Agriculture",10.1822134387352,0.495177351477317
"Jackson Mill",8,9.98,10.1,"MAOM","Switchgrass","Control","June 2021","Agriculture",8.18653465346535,0.492539468038073
"Jackson Mill",9,10.02,10.79,"MAOM","Switchgrass","Control","June 2021","Agriculture",9.01635620172649,0.493849535969777
"Reedsville",10,NA,10.09,"MAOM","Willow","Biochar","June 2021","Agriculture",12.3894203714125,0.496742622990296
"Reedsville",11,10.01,9.97,"MAOM","Willow","Control","June 2021","Agriculture",10.9185454545455,0.495805884062317
"Reedsville",12,10,10.17,"MAOM","Willow","Control","June 2021","Agriculture",10.6071115013169,0.4955559827501
"Reedsville",13,10.01,10.3,"MAOM","Willow","Control","June 2021","Agriculture",10.9495268138801,0.495829584736386
"Reedsville",14,9.98,10.99,"MAOM","Willow","Biochar","June 2021","Agriculture",12.4190697674419,0.496758157805012
"Reedsville",15,10.01,9.89,"MAOM","Willow","Control","June 2021","Agriculture",11.2053320860617,0.496017823177227
"Reedsville",16,9.98,9.69,"MAOM","Switchgrass","Control","June 2021","Agriculture",10.9728997289973,0.495847332269108
"Reedsville",17,10.01,10.62,"MAOM","Switchgrass","Control","June 2021","Agriculture",11.0714584203928,0.495920937707422
"Reedsville",19,10.01,9.74,"MAOM","Willow","Control","June 2021","Agriculture",10.7237330037083,0.495652115293532
"Reedsville",2,10.01,9.92,"MAOM","Switchgrass","Control","June 2021","Agriculture",10.9743249225321,0.495848410781171
"Reedsville",20,10.02,9.73,"MAOM","Willow","Control","June 2021","Agriculture",11.3212226066897,0.496098933581935
"Reedsville",21,10.02,10.57,"MAOM","Willow","Biochar","June 2021","Agriculture",9.6006968641115,0.494575440344058
"Reedsville",22,NA,11.31,"MAOM","Switchgrass","Biochar","June 2021","Agriculture",11.380694980695,0.496139598845799
"Reedsville",23,9.99,10.3,"MAOM","Switchgrass","Control","June 2021","Agriculture",11.0573770491803,0.49591054186694
"Reedsville",24,9.98,10.79,"MAOM","Switchgrass","Control","June 2021","Agriculture",10.5455861070912,0.495503976629616
"Reedsville",3,NA,7.11,"MAOM","Switchgrass","Biochar","June 2021","Agriculture",10.9632237871674,0.495839998896429
"Reedsville",4,9.98,9.92,"MAOM","Willow","Control","June 2021","Agriculture",10.6651126651127,0.495604188012302
"Reedsville",5,10.07,9.76,"MAOM","Willow","Biochar","June 2021","Agriculture",10.1302466464734,0.495127745500327
"Reedsville",6,9.99,9.82,"MAOM","Willow","Control","June 2021","Agriculture",10.2986445124617,0.495285779746304
"Reedsville",7,10.02,9.99,"MAOM","Switchgrass","Biochar","June 2021","Agriculture",10.8346420323326,0.495740674111131
"Reedsville",8,10,9.83,"MAOM","Switchgrass","Control","June 2021","Agriculture",10.0971454880295,0.495095748016782
"Reedsville",9,10.01,10.5,"MAOM","Switchgrass","Control","June 2021","Agriculture",10.2891926527125,0.495277114612668
